fk_periodo;fk_pais;fk_indicador;valor
6;71;1;2061323854
7;71;1;2273225042
8;71;1;2576024116
9;71;1;2861562266
10;71;1;2987684170
11;71;1;3077643314
12;71;1;3197220339
13;71;1;3504024213
14;71;1;3555205811
15;71;1;3878662621
16;71;1;4280443645
1;72;1;8772146605
2;72;1;9672035709
3;72;1;10841742348
4;72;1;12275501784
5;72;1;13789715133
6;72;1;14587496229
7;72;1;15839344592
8;72;1;17710315006
9;72;1;18528601901
10;72;1;18499710128
11;72;1;19756494435
12;72;1;20979767785
13;72;1;21717622071
14;72;1;23136232230
15;72;1;24024189736
16;72;1;25095395475
1;73;1;41594385430
2;73;1;45386774692
3;73;1;50454950478
4;73;1;60182902955
5;73;1;70288870870
6;73;1;62666199344
7;73;1;59807930156
8;73;1;62354273096
9;73;1;56494367810
10;73;1;58056933513
11;73;1;57642914304
12;73;1;49530641704
13;73;1;51596973259
14;73;1;55319605061
15;73;1;60991399904
16;73;1;60415553039
1;74;1;3537720277
2;74;1;4310358096
3;74;1;4756204070
4;74;1;5885325590
5;74;1;6548530572
6;74;1;6584649419
7;74;1;6622541529
8;74;1;7516834160
9;74;1;7890647022
10;74;1;8485077205
11;74;1;8775444942
12;74;1;8724656126
13;74;1;7970649131
14;74;1;8409497402
15;74;1;9658721170
16;74;1;8498981821
1;75;1;103960017914
2;75;1;112980947728
3;75;1;115577256524
4;75;1;139966001510
5;75;1;158136326478
6;75;1;130760312877
7;75;1;131135561228
8;75;1;141109576981
9;75;1;128153691809
10;75;1;135409048034
11;75;1;140558786480
12;75;1;124529741437
13;75;1;127507473626
14;75;1;141510583020
15;75;1;157882912778
16;75;1;160967157504
1;76;1;256836875295
2;76;1;285868618224
3;76;1;364570514305
4;76;1;432216737775
5;76;1;510228634992
6;76;1;539580085612
7;76;1;755094160363
8;76;1;892969107923
9;76;1;917869910106
10;76;1;912524136718
11;76;1;890814755233
12;76;1;860854235065
13;76;1;931877364178
14;76;1;1015618742566
15;76;1;1042240309413
16;76;1;1119190780753
1;77;1;193870692699
2;77;1;211649034697
3;77;1;232083467570
4;77;1;269917943471
5;77;1;275038896001
6;77;1;236316405946
7;77;1;222148757313
8;77;1;237472361873
9;77;1;224999484105
10;77;1;238543538777
11;77;1;258471885130
12;77;1;291499812104
13;77;1;300523297713
14;77;1;335663113960
15;77;1;382674360766
16;77;1;388698711348
1;78;1;135477431995
2;78;1;142528909909
3;78;1;154034316643
4;78;1;178959188652
5;78;1;216105164967
6;78;1;207468170892
7;78;1;233995676195
8;78;1;261468634231
9;78;1;257180147032
10;78;1;292636164001
11;78;1;309558454719
12;78;1;299813121213
13;78;1;318950599018
14;78;1;353253406955
15;78;1;370587977154
16;78;1;395098666122
1;79;1;709148514805
2;79;1;820381595513
3;79;1;940259888792
4;79;1;1216735441525
5;79;1;1198895582138
6;79;1;1341886602799
7;79;1;1675615335601
8;79;1;1823050405350
9;79;1;1827637859136
10;79;1;1856722121395
11;79;1;2039127446299
12;79;1;2103587817042
